Pixel,Wavenumber,Processed,Raw,Dark
783,1319.16,1551.90,2099.70,547.80
784,1320.84,1544.90,2105.90,561.00
785,1322.52,1542.20,2101.90,559.70
786,1324.20,1544.70,2093.30,548.60
787,1325.87,1559.80,2104.40,544.60
788,1327.55,1563.20,2116.00,552.80
789,1329.22,1573.70,2155.00,581.30
790,1330.90,1588.20,2161.70,573.50
791,1332.57,1567.10,2118.30,551.20
792,1334.24,1550.50,2101.70,551.20
793,1335.91,1589.30,2147.90,558.60
794,1337.58,1608.70,2166.80,558.10
795,1339.25,1595.40,2295.90,700.50
796,1340.92,1602.60,2306.00,703.40
797,1342.59,1591.60,2145.80,554.20
798,1344.25,1586.00,2140.60,554.60
799,1345.92,1592.60,2142.00,549.40
800,1347.58,1611.30,2158.00,546.70
801,1349.24,1638.00,2187.20,549.20
802,1350.91,1623.30,2171.00,547.70
803,1352.57,1628.30,2176.20,547.90
804,1354.23,1672.90,2221.30,548.40
805,1355.89,1725.00,2275.30,550.30
806,1357.54,1730.20,2285.10,554.90
807,1359.20,1736.40,2300.60,564.20
808,1360.86,1762.60,2321.80,559.20
809,1362.51,1769.10,2317.40,548.30
810,1364.17,1781.20,2336.60,555.40
811,1365.82,1811.30,2365.50,554.20
812,1367.47,1864.40,2639.80,775.40
813,1369.12,1898.10,2671.00,772.90
814,1370.77,1938.40,2483.10,544.70
815,1372.42,1980.70,2528.80,548.10
816,1374.07,2017.10,2564.90,547.80
817,1375.72,2074.40,2621.50,547.10
818,1377.37,2124.80,2677.90,553.10
819,1379.01,2126.00,2677.50,551.50
820,1380.66,2123.90,2669.90,546.00
821,1382.30,2205.20,2754.60,549.40
822,1383.94,2257.90,2811.20,553.30
823,1385.58,2252.80,2805.70,552.90
824,1387.22,2276.70,2826.80,550.10
825,1388.86,2295.60,2844.60,549.00
826,1390.50,2310.00,2860.10,550.10
827,1392.14,2326.50,2877.10,550.60
828,1393.78,2310.40,2864.90,554.50
829,1395.41,2344.40,2895.30,550.90
830,1397.05,2416.80,2965.10,548.30
831,1398.68,2438.40,2989.00,550.60
832,1400.31,2451.70,3002.10,550.40
833,1401.95,2464.40,3013.60,549.20
834,1403.58,2498.40,3271.80,773.40
835,1405.21,2580.90,3354.30,773.40
836,1406.84,2654.10,3204.20,550.10
837,1408.46,2704.90,3266.40,561.50
838,1410.09,2726.80,3289.00,562.20
839,1411.72,2782.70,3336.90,554.20
840,1413.34,2834.00,3392.00,558.00
841,1414.97,2815.50,3369.80,554.30
842,1416.59,2885.90,3490.90,605.00
843,1418.21,3013.30,3627.60,614.30
844,1419.83,3052.70,3612.60,559.90
845,1421.46,3081.70,3634.80,553.10
846,1423.07,3179.10,3732.10,553.00
847,1424.69,3275.70,3834.70,559.00
848,1426.31,3335.50,3897.40,561.90
849,1427.93,3404.50,3960.50,556.00
850,1429.54,3491.70,5117.70,1626.00
851,1431.16,3653.40,5285.10,1631.70
852,1432.77,3817.80,4374.30,556.50
853,1434.39,3972.60,4523.30,550.70
854,1436.00,4172.80,4722.20,549.40
855,1437.61,4405.60,4956.50,550.90
856,1439.22,4673.60,5226.10,552.50
857,1440.83,4990.30,5540.60,550.30
858,1442.44,5380.10,5926.50,546.40
859,1444.04,5781.30,6330.30,549.00
860,1445.65,6168.10,6719.90,551.80
861,1447.26,6564.40,7114.40,550.00
862,1448.86,6982.70,7532.60,549.90
863,1450.47,7312.60,7859.80,547.20
864,1452.07,7555.90,8101.00,545.10
865,1453.67,7667.90,8209.60,541.70
866,1455.27,7604.40,8152.00,547.60
867,1456.87,7477.60,8032.20,554.60
868,1458.47,7184.10,7745.00,560.90
869,1460.07,6808.20,7375.30,567.10
870,1461.67,6408.50,6969.20,560.70
871,1463.26,5964.20,6521.70,557.50
872,1464.86,5609.40,6164.10,554.70
873,1466.45,5277.00,5826.00,549.00
874,1468.05,4898.40,5448.00,549.60
875,1469.64,4621.60,5170.60,549.00
876,1471.23,4432.50,5180.10,747.60
877,1472.82,4250.80,5000.20,749.40
878,1474.41,4144.30,4692.20,547.90
879,1476.00,4033.80,4582.10,548.30
880,1477.59,3946.50,4493.20,546.70
881,1479.18,3950.40,4504.40,554.00
882,1480.76,3922.70,4533.90,611.20
883,1482.35,3846.70,4450.90,604.20
884,1483.93,3751.20,4305.00,553.80
885,1485.52,3685.10,4239.90,554.80
886,1487.10,3563.20,4109.50,546.30
887,1488.68,3362.70,3904.50,541.80
888,1490.26,3203.90,3748.10,544.20
889,1491.84,3092.80,3648.20,555.40
890,1493.42,2916.90,3470.70,553.80
891,1495.00,2738.60,3286.10,547.50
892,1496.58,2634.80,3185.60,550.80
893,1498.15,2519.20,3065.90,546.70
894,1499.73,2389.20,2936.40,547.20
895,1501.30,2282.90,2833.50,550.60
896,1502.88,2212.60,2757.40,544.80
